"id","question","sparql","answer","frame"
"18","Give me the capital of Lower Yafa","select  ?o    {    <http://dbpedia.org/resource/Lower_Yafa> <http://dbpedia.org/ontology/capital>  ?o    }","Jaʿār","NPP"
"19","Tell me the capital of Lower Yafa","select  ?o    {    <http://dbpedia.org/resource/Lower_Yafa> <http://dbpedia.org/ontology/capital>  ?o    }","Jaʿār","NPP"
"20","What is the capital of Lower Yafa?","select  ?o    {    <http://dbpedia.org/resource/Lower_Yafa> <http://dbpedia.org/ontology/capital>  ?o    }","Jaʿār","NPP"
"21","What was the capital of Lower Yafa?","select  ?o    {    <http://dbpedia.org/resource/Lower_Yafa> <http://dbpedia.org/ontology/capital>  ?o    }","Jaʿār","NPP"
"22","Which city is the capital of Lower Yafa?","select  ?o    {    <http://dbpedia.org/resource/Lower_Yafa> <http://dbpedia.org/ontology/capital>  ?o    }","Jaʿār","NPP"
"23","Which city was the capital of Lower Yafa?","select  ?o    {    <http://dbpedia.org/resource/Lower_Yafa> <http://dbpedia.org/ontology/capital>  ?o    }","Jaʿār","NPP"
"24","Give me the capital of Lu state","select  ?o    {    <http://dbpedia.org/resource/Lu_(state)> <http://dbpedia.org/ontology/capital>  ?o    }","Qufu","NPP"
"25","Tell me the capital of Lu state","select  ?o    {    <http://dbpedia.org/resource/Lu_(state)> <http://dbpedia.org/ontology/capital>  ?o    }","Qufu","NPP"
"26","What is the capital of Lu state?","select  ?o    {    <http://dbpedia.org/resource/Lu_(state)> <http://dbpedia.org/ontology/capital>  ?o    }","Qufu","NPP"
"27","What was the capital of Lu state?","select  ?o    {    <http://dbpedia.org/resource/Lu_(state)> <http://dbpedia.org/ontology/capital>  ?o    }","Qufu","NPP"
"28","Which city is the capital of Lu state?","select  ?o    {    <http://dbpedia.org/resource/Lu_(state)> <http://dbpedia.org/ontology/capital>  ?o    }","Qufu","NPP"
"29","Which city was the capital of Lu state?","select  ?o    {    <http://dbpedia.org/resource/Lu_(state)> <http://dbpedia.org/ontology/capital>  ?o    }","Qufu","NPP"
"30","Give me the capital of Luhansk People's Republic","select  ?o    {    <http://dbpedia.org/resource/Luhansk_People's_Republic> <http://dbpedia.org/ontology/capital>  ?o    }","Luhansk","NPP"
"31","Tell me the capital of Luhansk People's Republic","select  ?o    {    <http://dbpedia.org/resource/Luhansk_People's_Republic> <http://dbpedia.org/ontology/capital>  ?o    }","Luhansk","NPP"
"32","What is the capital of Luhansk People's Republic?","select  ?o    {    <http://dbpedia.org/resource/Luhansk_People's_Republic> <http://dbpedia.org/ontology/capital>  ?o    }","Luhansk","NPP"
"33","What was the capital of Luhansk People's Republic?","select  ?o    {    <http://dbpedia.org/resource/Luhansk_People's_Republic> <http://dbpedia.org/ontology/capital>  ?o    }","Luhansk","NPP"
"34","Which city is the capital of Luhansk People's Republic?","select  ?o    {    <http://dbpedia.org/resource/Luhansk_People's_Republic> <http://dbpedia.org/ontology/capital>  ?o    }","Luhansk","NPP"
"35","Which city was the capital of Luhansk People's Republic?","select  ?o    {    <http://dbpedia.org/resource/Luhansk_People's_Republic> <http://dbpedia.org/ontology/capital>  ?o    }","Luhansk","NPP"
"36","Give me the capital of Luhuti","select  ?o    {    <http://dbpedia.org/resource/Luhuti> <http://dbpedia.org/ontology/capital>  ?o    }","Tell Afis","NPP"
"37","Tell me the capital of Luhuti","select  ?o    {    <http://dbpedia.org/resource/Luhuti> <http://dbpedia.org/ontology/capital>  ?o    }","Tell Afis","NPP"
"38","What is the capital of Luhuti?","select  ?o    {    <http://dbpedia.org/resource/Luhuti> <http://dbpedia.org/ontology/capital>  ?o    }","Tell Afis","NPP"
"39","What was the capital of Luhuti?","select  ?o    {    <http://dbpedia.org/resource/Luhuti> <http://dbpedia.org/ontology/capital>  ?o    }","Tell Afis","NPP"
"40","Which city is the capital of Luhuti?","select  ?o    {    <http://dbpedia.org/resource/Luhuti> <http://dbpedia.org/ontology/capital>  ?o    }","Tell Afis","NPP"
"41","Which city was the capital of Luhuti?","select  ?o    {    <http://dbpedia.org/resource/Luhuti> <http://dbpedia.org/ontology/capital>  ?o    }","Tell Afis","NPP"
"42","Give me the capital of Luo state","select  ?o    {    <http://dbpedia.org/resource/Luo_(state)> <http://dbpedia.org/ontology/capital>  ?o    }","Yicheng, Hubei","NPP"
"43","Tell me the capital of Luo state","select  ?o    {    <http://dbpedia.org/resource/Luo_(state)> <http://dbpedia.org/ontology/capital>  ?o    }","Yicheng, Hubei","NPP"
"44","What is the capital of Luo state?","select  ?o    {    <http://dbpedia.org/resource/Luo_(state)> <http://dbpedia.org/ontology/capital>  ?o    }","Yicheng, Hubei","NPP"
"45","What was the capital of Luo state?","select  ?o    {    <http://dbpedia.org/resource/Luo_(state)> <http://dbpedia.org/ontology/capital>  ?o    }","Yicheng, Hubei","NPP"
"46","Which city is the capital of Luo state?","select  ?o    {    <http://dbpedia.org/resource/Luo_(state)> <http://dbpedia.org/ontology/capital>  ?o    }","Yicheng, Hubei","NPP"
"47","Which city was the capital of Luo state?","select  ?o    {    <http://dbpedia.org/resource/Luo_(state)> <http://dbpedia.org/ontology/capital>  ?o    }","Yicheng, Hubei","NPP"
"48","Give me the capital of Lupaca","select  ?o    {    <http://dbpedia.org/resource/Lupaca> <http://dbpedia.org/ontology/capital>  ?o    }","Chucuito","NPP"
"49","Tell me the capital of Lupaca","select  ?o    {    <http://dbpedia.org/resource/Lupaca> <http://dbpedia.org/ontology/capital>  ?o    }","Chucuito","NPP"
"50","What is the capital of Lupaca?","select  ?o    {    <http://dbpedia.org/resource/Lupaca> <http://dbpedia.org/ontology/capital>  ?o    }","Chucuito","NPP"
"51","What was the capital of Lupaca?","select  ?o    {    <http://dbpedia.org/resource/Lupaca> <http://dbpedia.org/ontology/capital>  ?o    }","Chucuito","NPP"
"52","Which city is the capital of Lupaca?","select  ?o    {    <http://dbpedia.org/resource/Lupaca> <http://dbpedia.org/ontology/capital>  ?o    }","Chucuito","NPP"
"53","Which city was the capital of Lupaca?","select  ?o    {    <http://dbpedia.org/resource/Lupaca> <http://dbpedia.org/ontology/capital>  ?o    }","Chucuito","NPP"
"55","the capital of Lower Canada","select  ?o    {    <http://dbpedia.org/resource/Lower_Canada> <http://dbpedia.org/ontology/capital>  ?o    }","Quebec City","NPP"
"56","the capital of Lower Danube Circle","select  ?o    {    <http://dbpedia.org/resource/Lower_Danube_Circle> <http://dbpedia.org/ontology/capital>  ?o    }","Passau","NPP"
"57","the capital of Lower Egypt","select  ?o    {    <http://dbpedia.org/resource/Lower_Egypt> <http://dbpedia.org/ontology/capital>  ?o    }","Memphis, Egypt","NPP"
"58","the capital of Lower Yafa","select  ?o    {    <http://dbpedia.org/resource/Lower_Yafa> <http://dbpedia.org/ontology/capital>  ?o    }","Jaʿār","NPP"
"59","the capital of Lu (state)","select  ?o    {    <http://dbpedia.org/resource/Lu_(state)> <http://dbpedia.org/ontology/capital>  ?o    }","Qufu","NPP"
"60","the capital of Luhansk People's Republic","select  ?o    {    <http://dbpedia.org/resource/Luhansk_People's_Republic> <http://dbpedia.org/ontology/capital>  ?o    }","Luhansk","NPP"
"61","the capital of Luhuti","select  ?o    {    <http://dbpedia.org/resource/Luhuti> <http://dbpedia.org/ontology/capital>  ?o    }","Tell Afis","NPP"
"62","the capital of Luo (state)","select  ?o    {    <http://dbpedia.org/resource/Luo_(state)> <http://dbpedia.org/ontology/capital>  ?o    }","Yicheng, Hubei","NPP"
"63","the capital of Lupaca","select  ?o    {    <http://dbpedia.org/resource/Lupaca> <http://dbpedia.org/ontology/capital>  ?o    }","Chucuito","NPP"
"65","Which person directed 1920 film?","select  ?o    {    <http://dbpedia.org/resource/1920_(film)> <http://dbpedia.org/ontology/director>  ?o    }","Vikram Bhatt","VP"
"66","Which person directs 1920 film?","select  ?o    {    <http://dbpedia.org/resource/1920_(film)> <http://dbpedia.org/ontology/director>  ?o    }","Vikram Bhatt","VP"
"67","Who directed 1920 film?","select  ?o    {    <http://dbpedia.org/resource/1920_(film)> <http://dbpedia.org/ontology/director>  ?o    }","Vikram Bhatt","VP"
"68","Who directs 1920 film?","select  ?o    {    <http://dbpedia.org/resource/1920_(film)> <http://dbpedia.org/ontology/director>  ?o    }","Vikram Bhatt","VP"
"69","Which person directed 1958 film?","select  ?o    {    <http://dbpedia.org/resource/1958_(film)> <http://dbpedia.org/ontology/director>  ?o    }","Oddvar Bull Tuhus","VP"
"70","Which person directs 1958 film?","select  ?o    {    <http://dbpedia.org/resource/1958_(film)> <http://dbpedia.org/ontology/director>  ?o    }","Oddvar Bull Tuhus","VP"
"71","Who directed 1958 film?","select  ?o    {    <http://dbpedia.org/resource/1958_(film)> <http://dbpedia.org/ontology/director>  ?o    }","Oddvar Bull Tuhus","VP"
"72","Who directs 1958 film?","select  ?o    {    <http://dbpedia.org/resource/1958_(film)> <http://dbpedia.org/ontology/director>  ?o    }","Oddvar Bull Tuhus","VP"
"73","Which person directed 2015 Adelaide Film Festival?","select  ?o    {    <http://dbpedia.org/resource/2015_Adelaide_Film_Festival> <http://dbpedia.org/ontology/director>  ?o    }","Amanda Duthie","VP"
"74","Which person directs 2015 Adelaide Film Festival?","select  ?o    {    <http://dbpedia.org/resource/2015_Adelaide_Film_Festival> <http://dbpedia.org/ontology/director>  ?o    }","Amanda Duthie","VP"
"75","Who directed 2015 Adelaide Film Festival?","select  ?o    {    <http://dbpedia.org/resource/2015_Adelaide_Film_Festival> <http://dbpedia.org/ontology/director>  ?o    }","Amanda Duthie","VP"
"76","Who directs 2015 Adelaide Film Festival?","select  ?o    {    <http://dbpedia.org/resource/2015_Adelaide_Film_Festival> <http://dbpedia.org/ontology/director>  ?o    }","Amanda Duthie","VP"
"77","Which person directed 2016: Obama's America?","select  ?o    {    <http://dbpedia.org/resource/2016:_Obama's_America> <http://dbpedia.org/ontology/director>  ?o    }","Dinesh D'Souza","VP"
"78","Which person directs 2016: Obama's America?","select  ?o    {    <http://dbpedia.org/resource/2016:_Obama's_America> <http://dbpedia.org/ontology/director>  ?o    }","Dinesh D'Souza","VP"
"79","Who directed 2016: Obama's America?","select  ?o    {    <http://dbpedia.org/resource/2016:_Obama's_America> <http://dbpedia.org/ontology/director>  ?o    }","Dinesh D'Souza","VP"
"80","Who directs 2016: Obama's America?","select  ?o    {    <http://dbpedia.org/resource/2016:_Obama's_America> <http://dbpedia.org/ontology/director>  ?o    }","Dinesh D'Souza","VP"
"81","Which person directed 2016 The End?","select  ?o    {    <http://dbpedia.org/resource/2016_The_End> <http://dbpedia.org/ontology/director>  ?o    }","Jaideep Chopra","VP"
"82","Which person directs 2016 The End?","select  ?o    {    <http://dbpedia.org/resource/2016_The_End> <http://dbpedia.org/ontology/director>  ?o    }","Jaideep Chopra","VP"
"83","Who directed 2016 The End?","select  ?o    {    <http://dbpedia.org/resource/2016_The_End> <http://dbpedia.org/ontology/director>  ?o    }","Jaideep Chopra","VP"
"84","Who directs 2016 The End?","select  ?o    {    <http://dbpedia.org/resource/2016_The_End> <http://dbpedia.org/ontology/director>  ?o    }","Jaideep Chopra","VP"
"85","Which person directed 6-18-67?","select  ?o    {    <http://dbpedia.org/resource/6-18-67> <http://dbpedia.org/ontology/director>  ?o    }","George Lucas","VP"
"86","Which person directs 6-18-67?","select  ?o    {    <http://dbpedia.org/resource/6-18-67> <http://dbpedia.org/ontology/director>  ?o    }","George Lucas","VP"
"87","Who directed 6-18-67?","select  ?o    {    <http://dbpedia.org/resource/6-18-67> <http://dbpedia.org/ontology/director>  ?o    }","George Lucas","VP"
"88","Who directs 6-18-67?","select  ?o    {    <http://dbpedia.org/resource/6-18-67> <http://dbpedia.org/ontology/director>  ?o    }","George Lucas","VP"
"89","Which person directed 600000 Francs a Month 1926 film?","select  ?o    {    <http://dbpedia.org/resource/600,000_Francs_a_Month_(1926_film)> <http://dbpedia.org/ontology/director>  ?o    }","Nicolas Koline","VP"
"90","Which person directs 600000 Francs a Month 1926 film?","select  ?o    {    <http://dbpedia.org/resource/600,000_Francs_a_Month_(1926_film)> <http://dbpedia.org/ontology/director>  ?o    }","Nicolas Koline","VP"
"91","Who directed 600000 Francs a Month 1926 film?","select  ?o    {    <http://dbpedia.org/resource/600,000_Francs_a_Month_(1926_film)> <http://dbpedia.org/ontology/director>  ?o    }","Nicolas Koline","VP"
"92","Who directs 600000 Francs a Month 1926 film?","select  ?o    {    <http://dbpedia.org/resource/600,000_Francs_a_Month_(1926_film)> <http://dbpedia.org/ontology/director>  ?o    }","Nicolas Koline","VP"
"93","Which person directed 600000 Francs a Month 1933 film?","select  ?o    {    <http://dbpedia.org/resource/600,000_Francs_a_Month_(1933_film)> <http://dbpedia.org/ontology/director>  ?o    }","Léo Joannon","VP"
"94","Which person directs 600000 Francs a Month 1933 film?","select  ?o    {    <http://dbpedia.org/resource/600,000_Francs_a_Month_(1933_film)> <http://dbpedia.org/ontology/director>  ?o    }","Léo Joannon","VP"
"95","Who directed 600000 Francs a Month 1933 film?","select  ?o    {    <http://dbpedia.org/resource/600,000_Francs_a_Month_(1933_film)> <http://dbpedia.org/ontology/director>  ?o    }","Léo Joannon","VP"
"96","Who directs 600000 Francs a Month 1933 film?","select  ?o    {    <http://dbpedia.org/resource/600,000_Francs_a_Month_(1933_film)> <http://dbpedia.org/ontology/director>  ?o    }","Léo Joannon","VP"
"97","Which person directed 60 Cycles?","select  ?o    {    <http://dbpedia.org/resource/60_Cycles> <http://dbpedia.org/ontology/director>  ?o    }","Jean-Claude Labrecque","VP"
"98","Which person directs 60 Cycles?","select  ?o    {    <http://dbpedia.org/resource/60_Cycles> <http://dbpedia.org/ontology/director>  ?o    }","Jean-Claude Labrecque","VP"
"99","Who directed 60 Cycles?","select  ?o    {    <http://dbpedia.org/resource/60_Cycles> <http://dbpedia.org/ontology/director>  ?o    }","Jean-Claude Labrecque","VP"
"100","Who directs 60 Cycles?","select  ?o    {    <http://dbpedia.org/resource/60_Cycles> <http://dbpedia.org/ontology/director>  ?o    }","Jean-Claude Labrecque","VP"
"102","What is directed by A. E. Coleby?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._E._Coleby>    }","The Secret Woman","APP"
"103","What was directed by A. E. Coleby?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._E._Coleby>    }","The Secret Woman","APP"
"104","Which movie is directed by A. E. Coleby?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._E._Coleby>    }","The Secret Woman","APP"
"105","Which movie was directed by A. E. Coleby?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._E._Coleby>    }","The Secret Woman","APP"
"106","Which movies are directed by A. E. Coleby?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._E._Coleby>    }","The Secret Woman","APP"
"107","Which movies were directed by A. E. Coleby?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._E._Coleby>    }","The Secret Woman","APP"
"108","What is directed by A. Govindamoorthy?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._Govindamoorthy>    }","Pappali","APP"
"109","What was directed by A. Govindamoorthy?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._Govindamoorthy>    }","Pappali","APP"
"110","Which movie is directed by A. Govindamoorthy?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._Govindamoorthy>    }","Pappali","APP"
"111","Which movie was directed by A. Govindamoorthy?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._Govindamoorthy>    }","Pappali","APP"
"112","Which movies are directed by A. Govindamoorthy?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._Govindamoorthy>    }","Pappali","APP"
"113","Which movies were directed by A. Govindamoorthy?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._Govindamoorthy>    }","Pappali","APP"
"114","What is directed by A. Karunakaran?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._Karunakaran>    }","Tholi Prema (1998 film)","APP"
"115","What was directed by A. Karunakaran?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._Karunakaran>    }","Tholi Prema (1998 film)","APP"
"116","Which movie is directed by A. Karunakaran?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._Karunakaran>    }","Tholi Prema (1998 film)","APP"
"117","Which movie was directed by A. Karunakaran?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._Karunakaran>    }","Tholi Prema (1998 film)","APP"
"118","Which movies are directed by A. Karunakaran?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._Karunakaran>    }","Tholi Prema (1998 film)","APP"
"119","Which movies were directed by A. Karunakaran?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._Karunakaran>    }","Tholi Prema (1998 film)","APP"
"120","What is directed by A. L. Vijay?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._L._Vijay>    }","Poi Solla Porom","APP"
"121","What was directed by A. L. Vijay?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._L._Vijay>    }","Poi Solla Porom","APP"
"122","Which movie is directed by A. L. Vijay?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._L._Vijay>    }","Poi Solla Porom","APP"
"123","Which movie was directed by A. L. Vijay?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._L._Vijay>    }","Poi Solla Porom","APP"
"124","Which movies are directed by A. L. Vijay?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._L._Vijay>    }","Poi Solla Porom","APP"
"125","Which movies were directed by A. L. Vijay?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._L._Vijay>    }","Poi Solla Porom","APP"
"126","What is directed by A. M. Nandakumar?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._M._Nandakumar>    }","Thennavan","APP"
"127","What was directed by A. M. Nandakumar?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._M._Nandakumar>    }","Thennavan","APP"
"128","Which movie is directed by A. M. Nandakumar?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._M._Nandakumar>    }","Thennavan","APP"
"129","Which movie was directed by A. M. Nandakumar?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._M._Nandakumar>    }","Thennavan","APP"
"130","Which movies are directed by A. M. Nandakumar?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._M._Nandakumar>    }","Thennavan","APP"
"131","Which movies were directed by A. M. Nandakumar?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._M._Nandakumar>    }","Thennavan","APP"
"132","What is directed by A. M. Rathnam?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._M._Rathnam>    }","Peddarikam","APP"
"133","What was directed by A. M. Rathnam?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._M._Rathnam>    }","Peddarikam","APP"
"134","Which movie is directed by A. M. Rathnam?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._M._Rathnam>    }","Peddarikam","APP"
"135","Which movie was directed by A. M. Rathnam?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._M._Rathnam>    }","Peddarikam","APP"
"136","Which movies are directed by A. M. Rathnam?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._M._Rathnam>    }","Peddarikam","APP"
"137","Which movies were directed by A. M. Rathnam?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._M._Rathnam>    }","Peddarikam","APP"
"138","What is directed by A. R. Harwood?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._R._Harwood>    }","Isle of Intrigue","APP"
"139","What was directed by A. R. Harwood?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._R._Harwood>    }","Isle of Intrigue","APP"
"140","Which movie is directed by A. R. Harwood?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._R._Harwood>    }","Isle of Intrigue","APP"
"141","Which movie was directed by A. R. Harwood?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._R._Harwood>    }","Isle of Intrigue","APP"
"142","Which movies are directed by A. R. Harwood?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._R._Harwood>    }","Isle of Intrigue","APP"
"143","Which movies were directed by A. R. Harwood?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._R._Harwood>    }","Isle of Intrigue","APP"
"144","What is directed by A. R. Ramesh?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._R._Ramesh>    }","Malli (TV series)","APP"
"145","What was directed by A. R. Ramesh?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._R._Ramesh>    }","Malli (TV series)","APP"
"146","Which movie is directed by A. R. Ramesh?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._R._Ramesh>    }","Malli (TV series)","APP"
"147","Which movie was directed by A. R. Ramesh?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._R._Ramesh>    }","Malli (TV series)","APP"
"148","Which movies are directed by A. R. Ramesh?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._R._Ramesh>    }","Malli (TV series)","APP"
"149","Which movies were directed by A. R. Ramesh?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._R._Ramesh>    }","Malli (TV series)","APP"
"150","What is directed by A. Sheriff?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._Sheriff>    }","Asthamikkatha Pakalukal","APP"
"151","What was directed by A. Sheriff?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._Sheriff>    }","Asthamikkatha Pakalukal","APP"
"152","Which movie is directed by A. Sheriff?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._Sheriff>    }","Asthamikkatha Pakalukal","APP"
"153","Which movie was directed by A. Sheriff?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._Sheriff>    }","Asthamikkatha Pakalukal","APP"
"154","Which movies are directed by A. Sheriff?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._Sheriff>    }","Asthamikkatha Pakalukal","APP"
"155","Which movies were directed by A. Sheriff?","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._Sheriff>    }","Asthamikkatha Pakalukal","APP"
"157","movies directed by A. E. Coleby","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._E._Coleby>    }","The Secret Woman","APP"
"158","movies directed by A. Govindamoorthy","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._Govindamoorthy>    }","Pappali","APP"
"159","movies directed by A. Karunakaran","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._Karunakaran>    }","Tholi Prema (1998 film)","APP"
"160","movies directed by A. L. Vijay","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._L._Vijay>    }","Poi Solla Porom","APP"
"161","movies directed by A. M. Nandakumar","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._M._Nandakumar>    }","Thennavan","APP"
"162","movies directed by A. M. Rathnam","select  ?s    {   ?s <http://dbpedia.org/ontology/director>  <http://dbpedia.org/resource/A._M._Rathnam>    }","Peddarikam","APP"
